segment_value,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,segment_variable,default_rate_matured,ead_share,el_share,concentration_flag
GA,43470,41684,7716,633945675,50036246.520320006,0.2011071562688861,state,0.18510699548987622,0.03264782774416833,0.032702631436980954,Normal
OH,43935,42304,8799,600586475,48248049.72473817,0.20476344344430883,state,0.20799451588502268,0.03092984865190106,0.03153390386827824,Normal
VA,38107,36610,7413,583149550,45390823.74569239,0.19869699213099107,state,0.20248565965583173,0.030031857315675,0.029666481457067694,Normal
NC,37812,36179,7568,536287125,42150996.285704754,0.2009028545257597,state,0.20918212222560048,0.02761847011325579,0.027548998817750248,Normal
MI,35302,33790,6924,486736100,38883905.1921504,0.20286487428588135,state,0.20491269606392423,0.025066621599190323,0.02541369724471635,Normal
MD,31295,29948,6443,473138575,36804158.868409805,0.1978036753540742,state,0.21513957526379057,0.024366357094748325,0.02405441907663705,Normal
AZ,32733,31215,6217,454925125,36660168.63127066,0.20375690251775505,state,0.199167067115169,0.023428375179772688,0.0239603101059777,Normal
MA,31066,29734,5707,474664225,35780445.60115867,0.1920835896312432,state,0.19193515840452008,0.02444492716843467,0.02338534175760862,Normal
WA,29218,27894,4477,431431450,34458263.446580894,0.202290818657186,state,0.16050046605004661,0.022218464796714278,0.02252119149253726,Normal
CO,29722,28249,4440,434949225,34321663.04194182,0.19978368853097064,state,0.15717370526390315,0.02239962813100588,0.022431912359954048,Normal
MN,24001,23028,4605,335233100,26439206.626123164,0.20083944608000937,state,0.19997394476289734,0.017264306603154214,0.017280105721542455,Normal
IN,21720,20784,4515,304688975,24718730.622163974,0.20555245310739112,state,0.21723441108545036,0.015691302210315117,0.016155639028566236,Normal
MO,21328,20471,4386,295763525,23482595.474755827,0.2021191097950266,state,0.21425431097650335,0.015231646808234826,0.01534772726572907,Normal
TN,20393,19502,4241,288234175,23446964.57879371,0.20682281822256218,state,0.21746487539739515,0.014843889731375593,0.015324439666449507,Normal
NV,20282,19194,4274,279088250,22864290.824999485,0.20666023246396445,state,0.2226737522142336,0.014372879997046097,0.014943616436421725,Normal
CT,19787,19044,3355,288305050,21758229.189292826,0.19360668945819692,state,0.17617097248477212,0.014847539752004518,0.014220717967120877,Normal
WI,17782,17035,3119,244580150,19205506.3859054,0.2012556053235588,state,0.18309363076019958,0.012595733233518551,0.012552312385058407,Normal
AL,16640,15978,3817,232062625,18975530.04982278,0.20664712973273752,state,0.23889097509074977,0.01195108809104113,0.012402004720492023,Normal
SC,16004,15258,2510,226860350,17997466.63157858,0.20190939963645174,state,0.1645038668239612,0.011683174001907557,0.011762763176347729,Normal
OR,16415,15734,2297,222096500,17712535.75432785,0.20237106934404683,state,0.14598957671285115,0.011437838541264093,0.011576538387084966,Normal
LA,15520,14963,3492,221115275,17381605.25726514,0.20033802612518203,state,0.2333756599612377,0.01138730603344586,0.011360249220144681,Normal
KY,12868,12359,2631,175609500,14062086.788651621,0.20306639388777148,state,0.21288130107613884,0.009043785504553727,0.009190682224682029,Normal
OK,12291,11764,2790,175137850,13996978.28335511,0.20297616244860886,state,0.23716422985379124,0.009019495808192068,0.009148128683995081,Normal
KS,11262,10880,1833,158090050,12433016.041595746,0.20104751224306253,state,0.16847426470588237,0.008141544179581251,0.008125956072529502,Normal
UT,10045,9511,1672,146295875,11543544.289947344,0.2015708480097532,state,0.17579644622016613,0.007534151134767788,0.007544616166148821,Normal
AR,10058,9682,2346,135723425,10989240.741996802,0.20509069264624938,state,0.24230530882049164,0.00698967620569152,0.007182335102051099,Normal
HI,6763,6514,1318,102588275,8756453.319712212,0.21495422431583275,state,0.20233343567700338,0.00528323555606144,0.005723032511908838,Normal
NM,7374,7090,1529,105021550,8576878.560035765,0.20653606584262366,state,0.2156558533145275,0.00540854778104695,0.0056056662506586375,Normal
MS,6593,6270,1655,92173700,7728882.536719676,0.21125716596943495,state,0.26395534290271133,0.004746891096216798,0.00505143400225708,Normal
NH,6463,6207,909,92548950,7117022.129822018,0.19839346208229375,state,0.14644755920734653,0.004766216249529027,0.004651534993654799,Normal
RI,5879,5634,1022,80032450,6316332.246062273,0.19956093126187985,state,0.18139865104721334,0.004121623893946062,0.004128221036576098,Normal
WV,4888,4624,735,68878050,5467161.136613193,0.20239054772680107,state,0.15895328719723184,0.003547178883670455,0.0035732207767550923,Normal
DE,3804,3641,721,53836725,4251734.80433467,0.20102064294521496,state,0.19802252128536116,0.0027725595321872977,0.0027788438570721915,Normal
AK,3194,3099,615,52592300,4192086.7012995826,0.20209933449332035,state,0.1984511132623427,0.002708472379860662,0.002739859119704264,Normal
MT,3831,3663,631,51293700,4158763.0194693403,0.2043018850353418,state,0.17226317226317225,0.0026415952470391834,0.0027180794667365886,Normal
NE,3591,3322,846,47921625,4018073.6405332047,0.2110719986591813,state,0.2546658639373871,0.002467935376671874,0.0026261278671181453,Normal
DC,3485,3363,449,52769700,3908166.892217633,0.1889225885253273,state,0.13351174546535832,0.002717608375057436,0.0025542951431918705,Normal
WY,2926,2825,480,43946000,3448430.7668562015,0.20039950351820765,state,0.16991150442477876,0.002263193037865936,0.002253821344465682,Normal
SD,2770,2658,567,37409800,3072842.6446244232,0.20942872904287693,state,0.21331828442437922,0.0019265825992799592,0.002008344899135885,Normal
VT,2655,2539,361,35215925,2772341.0005629817,0.202893451411914,state,0.14218196140212683,0.001813599332863263,0.001811943386325421,Normal
ME,2029,1871,273,28299475,2265293.1039691116,0.20412446766011916,state,0.1459112773917691,0.0014574062439189257,0.0014805476155321062,Normal
ID,1689,1441,297,22928600,2011685.801983566,0.21528669671212558,state,0.20610687022900764,0.0011808093543897715,0.0013147952519292061,Normal
ND,1601,1484,315,23335600,1996802.0654823312,0.21273666774803968,state,0.21226415094339623,0.00120176961394494,0.001305067556847055,Normal
IA,14,14,3,114075,7924.916955811198,0.1905239795973562,state,0.21428571428571427,5.874795107508229e-06,5.179557948442956e-06,Normal
