vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2009Q4,2009-11,662,662,97,6848875,403492.61277074774,0.15930498464668985,509.1767286947025,716.7356495468277,12.219305135951663,0.0,0.14652567975830816,0.05891370667018273,Matured outcome usable
2009Q4,2009-12,658,658,71,7126475,389476.5534524778,0.15624698574526688,510.7101472671792,720.5790273556231,12.466914893617021,0.0,0.10790273556231003,0.05465206198751526,Matured outcome usable
2010Q1,2010-01,662,662,92,7385950,418590.91513163457,0.15565256378476158,511.0595795751302,717.6193353474321,12.475891238670696,0.0,0.13897280966767372,0.05667394378944274,Matured outcome usable
2010Q1,2010-02,682,682,75,7460000,436275.945425498,0.1606002623747653,507.88133943544875,715.4897360703812,13.369486803519061,0.0,0.10997067448680352,0.05848203021789518,Matured outcome usable
2010Q1,2010-03,828,828,87,8664750,533908.0629674671,0.16308684027078166,506.76851708717516,714.2342995169082,13.466570048309178,0.0,0.10507246376811594,0.06161840364320576,Matured outcome usable
2010Q2,2010-04,912,912,101,9510575,553050.8001893655,0.1609576792874867,507.742649215689,715.0098684210526,12.759945175438595,0.0,0.11074561403508772,0.05815114230100341,Matured outcome usable
2010Q2,2010-05,989,989,144,10608150,628844.692106608,0.16204771284586345,507.21005898902104,714.4317492416583,13.169049544994945,0.0,0.14560161779575329,0.059279392929644466,Matured outcome usable
2010Q2,2010-06,1105,1105,196,11169550,654124.452717353,0.1623862867407322,506.9829409912435,714.4117647058823,12.900180995475115,0.0,0.17737556561085974,0.0585631876590689,Matured outcome usable
2010Q3,2010-07,1204,1204,159,11936500,688772.8957739482,0.15925793652417422,508.8338085805027,715.1976744186046,13.001852159468438,0.0,0.13205980066445183,0.05770308681556136,Matured outcome usable
2010Q3,2010-08,1175,1175,172,12101875,744597.7727644246,0.16660337114985269,504.9281822343002,711.2808510638298,13.386408510638299,0.0,0.14638297872340425,0.06152747179791764,Matured outcome usable
2010Q3,2010-09,1189,1189,206,12252600,722092.8679798144,0.16104040137171508,508.2760868956797,715.2127838519765,13.143221194280908,0.0,0.17325483599663583,0.05893384816119145,Matured outcome usable
