feature,bin,train_woe,validation_2016_woe,test_2017_woe,validation_abs_diff,test_abs_diff,stability_flag,action
open_acc_band_exp,11-15,-0.05821458493650929,-0.034673277900653866,-0.05587943893711867,0.02354130703585542,0.0023351459993906157,Stable,Accept for benchmark
open_acc_band_exp,16-25,-0.13280834926256982,-0.13049629911719116,-0.11250312443799973,0.0023120501453786635,0.02030522482457009,Stable,Accept for benchmark
open_acc_band_exp,25+,-0.3905262166406702,-0.33118453551957844,-0.22058294447464963,0.05934168112109178,0.1699432721660206,Stable,Accept for benchmark
open_acc_band_exp,4-6,0.18804937356077278,0.1466750746984626,0.14407902172256293,0.04137429886231017,0.043970351838209853,Stable,Accept for benchmark
open_acc_band_exp,7-10,0.08559144065227688,0.07129264720957834,0.06129362758516106,0.014298793442698535,0.024297813067115814,Stable,Accept for benchmark
open_acc_band_exp,<=3,0.28365466187629396,0.355626501831555,0.2213427787350266,0.07197183995526102,0.062311883141267344,Stable,Accept for benchmark
total_acc_band_exp,11-20,0.00541896780783207,-0.0328036543138905,-0.07574376861257856,0.03822262212172257,0.08116273642041064,Stable,Accept for benchmark
total_acc_band_exp,21-30,0.014670650734094775,0.015526578015653688,0.03521121461261206,0.0008559272815589127,0.020540563878517288,Stable,Accept for benchmark
total_acc_band_exp,31-50,0.002533684024574886,0.05061083409472624,0.11120857503221479,0.048077150070151356,0.1086748910076399,Stable,Accept for benchmark
total_acc_band_exp,51+,-0.17046992261680433,-0.10657836374535666,0.14163639056876937,0.06389155887144767,0.3121063131855737,Review,Review bin stability before production
total_acc_band_exp,<=10,-0.002579991793501481,-0.0278371956574218,-0.13260853266907704,0.02525720386392032,0.13002854087557555,Stable,Accept for benchmark
mort_acc_band_exp,0,-0.2172984361327387,-0.2978189680283249,-0.35388931779879595,0.08052053189558622,0.13659088166605726,Stable,Accept for benchmark
mort_acc_band_exp,1,-0.04392243596107304,-0.04477755206444356,0.021945106832929016,0.0008551161033705165,0.06586754279400206,Stable,Accept for benchmark
mort_acc_band_exp,2-3,0.18050473152389604,0.2798033843998506,0.3155360824875165,0.09929865287595455,0.13503135096362048,Stable,Accept for benchmark
mort_acc_band_exp,4-6,0.3362133559307126,0.5077383057814392,0.671105207436854,0.17152494985072658,0.33489185150614137,Review,Review bin stability before production
mort_acc_band_exp,6+,0.41992855651196453,0.5904736503535201,1.0677171045858447,0.17054509384155553,0.6477885480738801,Review,Review bin stability before production
pub_rec_band_exp,0,0.04568228530404286,0.0583078643125869,0.04608766781415522,0.012625579008544038,0.0004053825101123579,Stable,Accept for benchmark
pub_rec_band_exp,1,-0.18738682831774578,-0.21204673285621797,-0.18410413077278204,0.024659904538472194,0.003282697544963742,Stable,Accept for benchmark
pub_rec_band_exp,2,-0.22717032063100512,-0.2251029903122376,-0.19467995899735507,0.0020673303187675185,0.032490361633650044,Stable,Accept for benchmark
pub_rec_band_exp,3+,-0.19298035885414322,-0.2812972197276098,-0.23345383430090083,0.08831686087346657,0.04047347544675761,Stable,Accept for benchmark
bankruptcy_band_exp,0,0.03420872136123972,0.04358944389352857,0.03521850195634848,0.009380722532288846,0.0010097805951087557,Stable,Accept for benchmark
bankruptcy_band_exp,1,-0.2055396578964021,-0.23758738031918236,-0.19511015524682668,0.032047722422780256,0.010429502649575428,Stable,Accept for benchmark
bankruptcy_band_exp,2+,-0.4105597652971582,-0.3852443462156212,-0.16899395088464111,0.025315419081537005,0.2415658144125171,Stable,Accept for benchmark
term_band_exp,36,0.5696317577537682,0.3972782977350282,0.4518313088595215,0.17235346001873997,0.11780044889424668,Stable,Accept for benchmark
term_band_exp,60,-1.0698348244270557,-1.0778030291140481,-1.0076860628591033,0.007968204686992442,0.06214876156795235,Stable,Accept for benchmark
emp_length_exp,0.0,-0.21318759638440332,-0.3173626018901814,-0.31014302009644396,0.10417500550577807,0.09695542371204063,Stable,Accept for benchmark
emp_length_exp,1.0,-0.008959209448136309,-0.023496150096940446,-0.040310548196878015,0.014536940648804137,0.03135133874874171,Stable,Accept for benchmark
