feature,business_meaning,bin,accounts,good_accounts,bad_accounts,bad_rate,woe,iv_bin,iv_variable
pub_rec_band_exp,Public record severity.,0,150097,126753,23344,0.1555260931264449,0.04568228530404286,0.0016852679450530014,0.008815608449842733
pub_rec_band_exp,Public record severity.,1,26983,21893,5090,0.18863729014564726,-0.18738682831774578,0.005510797406284727,0.008815608449842733
pub_rec_band_exp,Public record severity.,2,3836,3089,747,0.19473409801876956,-0.22717032063100512,0.0011666742509501451,0.008815608449842733
pub_rec_band_exp,Public record severity.,3+,2086,1691,395,0.18935762224352828,-0.19298035885414322,0.0004528688475548606,0.008815608449842733
bankruptcy_band_exp,Bankruptcy history.,0,160153,135003,25150,0.15703733305027068,0.03420872136123972,0.0010122979304767819,0.007910329605202021
bankruptcy_band_exp,Bankruptcy history.,1,21298,17221,4077,0.19142642501643348,-0.2055396578964021,0.005264481497136687,0.007910329605202021
bankruptcy_band_exp,Bankruptcy history.,2+,1551,1202,349,0.22501611863313992,-0.4105597652971582,0.0016335501775885512,0.007910329605202021
term_band_exp,Loan term/product tenor.,36,138703,125064,13639,0.09833240809499434,0.5696317577537682,0.2016427226556506,0.5803512547079516
term_band_exp,Loan term/product tenor.,60,44299,28362,15937,0.3597598139912865,-1.0698348244270557,0.378708532052301,0.5803512547079516
emp_length_exp,Employment stability proxy.,0.0,24892,20097,4795,0.19263217097862767,-0.21318759638440332,0.00663539201710146,0.0089006654266555
emp_length_exp,Employment stability proxy.,1.0,11976,10026,1950,0.1628256513026052,-0.008959209448136309,5.2689142017269286e-06,0.0089006654266555
emp_length_exp,Employment stability proxy.,11.0,60580,51405,9175,0.1514526246285903,0.0771032348405563,0.0019169247808959859,0.0089006654266555
emp_length_exp,Employment stability proxy.,2.0,16394,13837,2557,0.15597169696230329,0.042247031772597476,0.00015761370427550518,0.0089006654266555
emp_length_exp,Employment stability proxy.,3.0,14671,12365,2306,0.15718083293572355,0.03307406543812465,8.671818229205873e-05,0.0089006654266555
emp_length_exp,Employment stability proxy.,4.0,10647,8953,1694,0.15910585141354372,0.01855175781119489,1.9898768708379728e-05,0.0089006654266555
emp_length_exp,Employment stability proxy.,5.0,10703,9007,1696,0.15846024479118004,0.02338521097945012,3.1732492538257894e-05,0.0089006654266555
emp_length_exp,Employment stability proxy.,6.0,7966,6647,1319,0.16557870951544063,-0.029117080244717118,3.7271553680922545e-05,0.0089006654266555
emp_length_exp,Employment stability proxy.,7.0,8683,7283,1400,0.16123459633767132,0.0026771527703258486,3.3977443299353874e-07,0.0089006654266555
emp_length_exp,Employment stability proxy.,8.0,9208,7703,1505,0.16344483058210252,-0.013555345318472132,9.288413864347744e-06,0.0089006654266555
emp_length_exp,Employment stability proxy.,9.0,7282,6103,1179,0.16190606976105465,-0.002333290156388763,2.1682466386269557e-07,0.0089006654266555
purpose_exp,Loan purpose risk profile.,car,1572,1384,188,0.11959287531806616,0.34793221808472485,0.0009225700344295141,0.03241535377612989
purpose_exp,Loan purpose risk profile.,credit_card,44131,38589,5542,0.1255806575876368,0.29447043859449246,0.018891146970919,0.03241535377612989
purpose_exp,Loan purpose risk profile.,debt_consolidation,108091,89117,18974,0.17553727877436603,-0.09920436639073202,0.006009326782987557,0.03241535377612989
purpose_exp,Loan purpose risk profile.,educational,1,1,0,0.0,-0.5474518289701166,3.900783021335888e-06,0.03241535377612989
purpose_exp,Loan purpose risk profile.,home_improvement,10875,9273,1602,0.1473103448275862,0.10953184289629025,0.0006868125575560496,0.03241535377612989
purpose_exp,Loan purpose risk profile.,house,611,473,138,0.22585924713584288,-0.41678253063948656,0.0006650621093545293,0.03241535377612989
purpose_exp,Loan purpose risk profile.,major_purchase,3296,2793,503,0.15260922330097088,0.0674027391023603,7.99891126695213e-05,0.03241535377612989
purpose_exp,Loan purpose risk profile.,medical,1824,1502,322,0.17653508771929824,-0.10728158746469092,0.00011897349935665164,0.03241535377612989
